ff_max,ffm,tmax,tmin,tm,umax,umin,td_m,ewsm,rrr24
4,2.4,13.1,-2.2,5.5,81,31,-3.98556,10.8274,0.0
7,3.2,16.5,-0.1,8.2,84,28,-2.8296,13.1352,
7,3.6,16.4,4.4,10.4,85,47,3.47813,13.1639,0.2
3,0.4,17.4,0.8,9.1,98,37,3.13938,14.4005,
4,0.6,18.6,3.1,10.9,92,30,2.06275,15.1955,0.0
4,0.6,18.8,0.8,9.8,84,21,-0.875622,15.0137,
8,0.8,17.9,1.6,9.8,81,31,1.43937,14.8502,1.0
5,1.8,22.2,3.1,12.7,79,23,1.60081,18.8903,0.0
6,2.0,21.9,3.4,12.6,75,23,0.933216,18.9797,0.0
8,3.0,13.3,5.1,9.2,98,59,5.2073,12.0323,
6,4.6,13.9,5.4,9.6,84,52,4.1317,12.753,0.0
6,1.8,15.1,7.0,11.1,93,64,5.988,12.0126,
3,1.0,13.9,6.4,10.1,100,67,6.34219,11.8613,
7,2.8,11.2,1.5,6.3,100,67,3.86238,10.2684,
6,4.2,14.8,3.2,9.0,83,45,2.26983,11.522,8.0
5,1.6,17.2,2.6,9.9,96,49,5.15593,13.9729,0.0
6,2.8,15.9,4.6,10.3,72,37,1.44669,14.573,0.0
3,1.2,16.4,0.9,8.6,77,34,-0.673713,13.6401,
3,1.4,19.3,1.3,10.3,89,27,0.741475,15.7221,0.0
3,1.0,20.0,1.9,10.9,77,23,0.756475,16.8474,0.0
9,1.4,20.4,1.3,10.8,86,31,1.6603,17.2108,
6,0.6,20.3,1.5,10.9,89,25,1.04668,16.4177,0.0
8,1.4,21.4,3.0,12.2,75,23,1.7154,18.5855,
3,1.0,23.0,3.2,13.1,80,21,1.70443,19.673,
5,1.4,22.6,4.7,13.6,82,26,2.96223,20.2625,0.0
10,1.8,21.4,7.6,14.5,67,29,3.14287,19.6275,0.7
4,1.8,21.8,4.8,13.3,90,30,3.99851,19.0165,0.0
7,2.2,22.0,3.7,12.9,94,21,2.36867,19.2337,0.0
5,2.2,21.6,5.1,13.4,71,22,0.422377,19.054,0.0
4,1.2,22.0,1.5,11.8,80,22,-1.22341,18.7237,0.0
3,0.0,22.2,7.2,14.7,66,24,0.881901,20.0067,0.0
12,1.8,25.9,5.9,15.9,79,22,4.04767,22.7307,
5,1.6,26.9,8.4,17.6,69,22,5.91571,24.6398,
10,4.2,26.3,7.2,16.8,76,24,3.5227,24.1994,0.0
4,1.0,24.6,9.0,16.8,73,21,2.23718,23.0256,
10,5.4,21.9,10.3,16.1,47,20,0.00023278,20.5809,
4,0.6,23.4,4.2,13.8,70,27,1.7296,19.3234,0.0
3,1.4,25.7,4.6,15.2,71,17,1.45886,23.5669,0.0
5,2.2,27.0,6.6,16.8,60,21,2.80563,26.2386,0.0
5,2.2,27.7,5.0,16.4,67,19,2.34613,27.1411,
7,3.2,19.0,5.9,12.4,74,36,2.17772,16.5167,0.0
7,4.2,24.0,4.6,14.3,74,20,1.45192,20.6226,0.0
7,3.0,24.4,5.4,14.9,68,22,1.29365,22.4253,0.0
8,4.2,25.6,5.0,15.3,69,19,1.7942,25.158,
6,4.2,26.8,5.2,16.0,64,19,1.13901,22.2775,0.0
6,1.8,24.4,5.0,14.7,56,17,0.926608,21.627,0.0
3,1.2,29.0,5.6,17.3,65,15,3.65069,30.6104,0.0
5,1.8,29.1,6.3,17.7,61,14,0.511331,28.5168,
5,1.2,29.6,6.6,18.1,56,14,-0.302345,29.1737,
4,1.4,32.7,9.3,21.0,60,14,3.19188,34.7212,0.0
4,1.2,32.4,10.6,21.5,43,16,2.85671,34.3446,0.0
5,2.4,31.0,7.7,19.4,46,10,0.100626,32.9076,0.0
6,0.6,31.4,6.3,18.9,42,7,-2.82833,31.1582,0.0
7,1.2,32.4,12.4,22.4,46,13,2.16876,34.6264,
6,2.4,30.4,11.7,21.0,45,20,4.06573,30.8776,
3,1.2,31.8,12.8,22.3,53,17,4.43025,34.5578,0.0
6,1.0,33.1,15.0,24.0,35,13,2.10947,37.785,
8,3.4,31.7,11.0,21.4,47,9,0.142043,35.7291,
10,6.0,26.6,11.9,19.3,43,20,2.07795,24.438,0.0
7,1.8,27.9,11.3,19.6,52,22,4.04039,27.5396,0.0
5,2.2,30.9,11.9,21.4,56,14,4.12607,31.8347,0.0
4,2.0,32.4,10.4,21.4,51,19,4.44038,33.8816,0.0
8,2.8,31.3,16.5,23.9,42,16,4.4403,33.1843,
10,2.8,30.5,15.6,23.0,51,17,4.98431,32.3792,
7,1.8,30.0,13.6,21.8,65,16,4.97516,31.5006,0.0
6,3.0,31.1,14.8,23.0,54,16,4.69387,32.6143,0.0
7,2.4,30.9,15.7,23.3,51,14,3.55923,34.0875,0.0
3,1.6,30.5,11.0,20.8,51,21,4.82911,32.687,0.0
4,1.4,18.7,-2.2,8.3,72,13,-4.7536,14.78,0.0
10,0.4,19.3,0.4,9.8,98,33,3.015,14.88,5.0
7,3.2,14.9,4.6,9.8,78,61,3.4566,11.32,10.4
7,3.6,13.8,4.2,9.0,86,53,2.9708,11.22,9.0
9,6.0,18.2,3.9,11.1,74,37,1.6934,15.54,0.0
4,1.2,22.0,0.6,11.3,83,30,2.9122,17.7,
5,2.8,22.2,2.1,12.2,93,29,3.1918,19.72,0.0
12,6.0,20.6,4.2,12.4,74,22,-0.5328,18.26,
6,2.6,20.4,3.1,11.8,76,19,-1.9564,15.8,
2,1.2,11.7,6.7,9.2,79,63,4.7302,11.74,2.4
4,0.4,18.8,0.5,9.6,98,32,2.4232,14.5,0.0
8,5.2,20.2,3.1,11.7,63,23,-0.4392,18.02,0.0
6,4.2,17.7,5.5,11.6,48,25,-3.5532,15.28,0.0
8,3.0,18.7,-1.3,8.7,74,25,-2.4532,15.52,0.0
8,4.4,17.3,-0.9,8.2,59,28,-1.9414,14.2,0.0
7,2.4,11.9,-1.1,5.4,86,34,-2.2756,9.44,0.01
5,2.6,12.7,-0.9,5.9,95,40,-0.5334,10.86,1.0
4,1.8,19.8,-1.7,9.0,68,19,-5.5472,15.38,0.0
7,1.2,20.6,-0.4,10.1,57,16,-4.547,17.26,
5,2.8,21.4,6.7,14.0,44,20,-2.8044,18.94,0.0
3,1.4,22.9,0.7,11.8,76,19,-2.0918,19.64,0.0
6,1.0,24.4,0.6,12.5,62,18,-2.0126,21.42,0.0
9,6.0,22.7,9.7,16.2,34,17,-3.201,20.7,
6,4.4,19.4,11.4,15.4,37,25,-1.8528,18.44,0.0
6,3.0,20.2,6.1,13.2,62,24,-0.2688,18.38,0.0
6,0.8,13.2,8.3,10.8,93,65,6.317,11.98,3.0
7,1.2,17.4,5.3,11.4,90,52,5.975,14.44,2.0
3,1.2,19.1,1.9,10.5,98,45,6.0932,15.92,0.1
8,2.2,18.9,2.7,10.8,97,38,5.4748,16.36,2.0
4,0.4,22.7,4.2,13.5,96,28,5.0354,18.86,0.1
4,2.0,23.0,5.1,14.1,75,35,5.7134,19.04,0.0
8,3.6,25.6,4.8,15.2,86,28,5.662,22.06,
5,2.2,23.9,9.3,16.6,81,22,3.647,22.26,1.0
4,1.6,20.5,8.2,14.4,85,43,6.5024,16.26,
6,3.6,22.2,5.6,13.9,95,36,6.3276,18.24,
5,2.0,18.3,3.7,11.0,92,41,4.1164,15.34,0.01
6,3.8,17.5,6.3,11.9,62,40,2.7512,14.04,0.0
5,2.2,18.9,2.3,10.6,93,31,3.7332,15.72,
4,1.0,21.0,2.4,11.7,89,32,3.9544,17.58,0.0
5,2.0,22.3,3.5,12.9,89,32,3.1942,19.26,0.0
5,2.0,18.5,3.4,10.9,85,37,3.4762,15.08,
5,3.0,23.4,6.7,15.0,97,32,6.561,19.34,14.0
5,2.8,21.6,6.7,14.1,91,32,4.8998,19.32,0.0
5,3.4,26.6,8.7,17.6,34,16,-1.0392,24.94,0.0
4,2.0,28.6,5.5,17.0,56,20,2.3684,26.48,0.0
8,3.2,27.0,10.3,18.6,62,24,4.9238,25.64,
5,2.2,24.6,9.5,17.0,62,16,-0.0717999,23.46,0.6
7,2.0,23.8,5.5,14.6,59,17,-1.1622,22.08,0.0
4,0.4,24.1,5.2,14.6,73,17,0.6918,22.12,
4,2.2,26.4,4.3,15.4,53,19,0.5362,24.28,0.0
7,2.6,27.2,13.2,20.2,39,18,0.9412,26.48,0.0
3,1.2,24.8,8.9,16.8,58,20,1.426,24.88,
6,2.4,28.4,8.9,18.6,65,12,1.2974,28.48,0.0
7,3.2,29.4,7.6,18.5,60,16,1.5618,29.6,0.0
3,1.8,29.6,7.4,18.5,46,15,0.1254,29.14,0.0
5,2.6,30.0,5.5,17.8,51,12,-1.8136,29.62,0.0
4,2.2,26.7,5.0,15.9,43,14,-3.4154,25.62,0.0
4,0.8,27.4,6.5,17.0,44,14,-3.105,24.7,0.0
2,0.4,27.4,5.9,16.6,57,16,-1.0308,26.64,0.0
4,0.6,29.4,6.5,18.0,52,11,-1.1846,29.0,0.0
5,2.2,29.0,6.6,17.8,54,14,0.0364001,29.18,0.0
4,2.8,32.1,13.2,22.6,39,15,2.076,34.66,0.0
3,1.6,34.6,16.7,25.6,33,13,2.586,39.02,0.0
4,1.0,35.0,11.5,23.3,42,14,4.0328,41.12,0.0
4,1.6,35.4,10.6,23.0,48,13,3.6762,41.54,0.0
7,3.4,32.3,11.0,21.6,49,11,1.0786,36.34,0.0
4,2.2,31.0,9.1,20.0,37,14,-0.8774,32.12,0.0
8,2.6,29.6,9.4,19.5,57,18,2.807,30.84,0.0
3,1.0,27.4,9.7,18.5,46,21,3.0468,28.64,0.0
4,1.8,29.6,9.5,19.5,52,21,4.6882,30.6,
5,2.8,32.2,12.2,22.2,46,16,3.118,34.64,
4,2.0,30.9,9.7,20.3,57,14,1.855,33.44,0.0
4,2.2,30.9,10.0,20.5,47,15,1.9204,33.16,
7,1.6,32.1,13.1,22.6,42,13,2.6388,35.38,0.0
11,4.6,32.2,16.9,24.5,42,16,4.6682,35.92,0.0
5,2.6,30.0,14.5,22.3,48,28,7.6364,29.98,0.0
5,2.6,32.3,16.4,24.3,41,16,3.9572,35.42,0.5
5,2.0,11.9,-7.2,2.3,75,24,-8.58,8.85124,
2,1.2,12.7,-3.9,4.4,80,27,-5.38,10.4343,0.0
4,2.4,8.5,0.6,4.6,87,61,0.12,8.35635,5.8
3,1.0,11.6,-3.8,3.9,99,44,-0.78,9.42191,2.0
3,1.4,13.3,-1.9,5.7,93,32,-2.28,10.902,0.0
4,1.6,17.3,-2.9,7.2,88,29,-2.82,12.5273,0.0
2,1.2,18.7,-0.4,9.2,86,19,-1.54,14.8561,
7,4.8,17.5,5.7,11.6,76,23,0.66,15.6856,0.3
6,2.8,16.6,1.7,9.2,72,30,-0.24,13.2033,0.0
6,2.6,18.8,3.2,11.0,84,22,-2.38e-08,15.6205,0.2
2,0.4,21.3,0.0,10.6,69,20,-3.3,15.4302,
2,0.8,15.7,-0.4,7.7,80,39,0.28,12.7253,0.0
4,1.8,19.5,1.3,10.4,92,24,1.42,15.6534,0.0
5,2.6,16.4,2.1,9.3,97,38,2.78,14.0422,
4,1.8,18.8,0.8,9.8,86,27,-0.24,15.077,
2,0.8,21.4,0.6,11.0,88,25,0.68,17.5619,0.0
5,2.6,23.6,4.4,14.0,66,28,2.72,19.9072,
4,2.0,22.0,5.7,13.9,83,22,1.02,19.6976,0.0
3,1.0,22.0,4.7,13.4,79,28,3.86,19.1483,0.0
4,2.4,21.3,3.8,12.5,81,29,2.12,18.0895,
4,2.0,19.3,0.5,9.9,74,24,-1.3,16.8563,0.0
2,0.4,22.2,0.9,11.6,85,25,1.92,19.4847,
6,2.0,22.3,5.0,13.6,80,27,4.16,19.5547,0.0
2,0.4,15.7,3.5,9.6,94,56,6.76,13.8523,0.1
2,0.4,21.8,3.8,12.8,100,34,6.28,17.6253,
4,1.2,22.1,7.4,14.8,73,27,4.54,18.7935,0.1
4,0.8,23.0,4.5,13.8,94,30,5.32,20.2565,0.0
2,0.8,23.5,3.5,13.5,75,17,0.14,20.0756,0.0
5,3.2,23.1,8.9,16.0,43,19,-0.38,21.6443,0.0
2,0.8,26.5,2.1,14.3,73,15,-0.16,24.0884,0.0
3,1.4,27.1,8.4,17.8,65,27,3.52,23.9375,
4,2.8,21.3,12.3,16.8,87,39,7.88,18.6409,0.01
2,0.4,22.4,6.6,14.5,99,46,9.1,18.9574,
4,1.8,23.5,5.8,14.6,84,26,4.18,18.5423,0.0
4,1.2,19.8,2.8,11.3,99,34,3.66,16.1439,0.9
4,3.0,17.1,6.9,12.0,83,42,3.64,14.9336,
4,2.6,22.5,2.5,12.5,78,28,2.86,18.8857,0.0
6,2.2,24.5,5.0,14.8,78,24,2.9,21.5604,
2,1.2,24.4,6.1,15.3,80,27,4.64,21.4542,0.0
3,1.6,22.4,3.9,13.1,90,27,3.18,20.4695,
6,2.8,19.2,9.6,14.4,51,33,3.44,18.6207,0.0
