station_id,date,tmax,tmin,tm,rrr24,Q,
19068,1388/01/13,17,1,9,,0.005,
19068,1388/01/14,18.2,1.2,9.7,,0,
19068,1388/01/15,18,4,11,,0,
19068,1388/01/16,18,6.2,12.1,1,0,
19068,1388/01/17,18.2,4.4,11.3,,0.047,
19068,1388/01/18,18.2,7,12.6,,0.016,
19068,1388/01/19,19.6,8,13.8,16,0.02,
19068,1388/01/20,15.8,3.7,9.75,,0.013,
19068,1388/01/21,18,1.1,9.55,,0.007,
19068,1388/01/22,16.8,3.3,10.05,,0.011,
19068,1388/01/23,15.4,3.4,9.4,,0.011,
19068,1388/01/24,16.5,7.7,12.1,7,0.012,
19068,1388/01/25,16.4,3.6,10,,0.013,
19068,1388/01/26,15.5,2,8.75,,0.02,
19068,1388/01/27,18.8,8.8,13.8,,0.016,
19068,1388/01/28,20.4,5.8,13.1,,0.011,
19068,1388/01/29,17.2,5,11.1,,0.02,
19068,1388/01/30,16.6,6.2,11.4,,0.02,
19068,1388/01/31,18,2,10,,0.016,
19068,1388/02/01,20.8,-0.4,10.2,,0.02,
19068,1388/02/02,22.4,1,11.7,,0.02,
19068,1388/02/03,25,3.4,14.2,,0.014,
19068,1388/02/04,25.9,14.5,20.2,,0.007,
19068,1388/02/05,23.6,10.6,17.1,,0,
19068,1388/02/06,21.8,9.8,15.8,1,0,
19068,1388/02/07,21,5,13,,0,
19068,1388/02/08,23.6,2,12.8,,0,
19068,1388/02/09,25.3,2.6,13.95,,0,
19068,1388/02/10,24.3,8.4,16.35,2,0,
19068,1388/02/11,23.8,5.6,14.7,0,0,
19068,1388/02/12,22.9,4.6,13.75,0,0,
19068,1388/02/13,23.2,6.1,14.65,0,0,
19068,1388/02/14,24.7,6.1,15.4,0,0,
19068,1388/02/15,26.7,8.2,17.45,0,0,
19068,1388/02/16,25.4,13.2,19.3,1,0,
19068,1388/02/17,26.6,7.6,17.1,0,0,
19068,1388/02/18,24.4,5.2,14.8,0,0,
19068,1388/02/19,24.6,8.9,16.75,0,0,
19068,1388/02/20,21.3,10.4,15.85,2,0,
19068,1388/02/21,23,9.6,16.3,0,0,
19068,1388/02/22,24.6,9.2,16.9,2,0,
19068,1388/02/23,26.4,7.8,17.1,0,0,
19068,1388/02/24,26.7,5.8,16.25,0,0,
19068,1388/02/25,28.7,7.2,17.95,0,0,
19068,1388/02/26,28.8,9,18.9,2,0,
19068,1388/02/27,24.7,10.6,17.65,0,0,
19068,1388/02/28,28.2,10.2,19.2,0,0,
19068,1388/02/29,29.2,9.6,19.4,0,0,
19068,1388/02/30,29,8.4,18.7,0,0,
19068,1388/02/31,32,7.9,19.95,0,0,
19068,1388/03/01,36,9.9,22.95,0,0,
19068,1388/03/02,31.9,11.8,21.85,0,0,
19068,1388/03/03,28.7,9.3,19,0,0,
19068,1388/03/04,29.6,9.6,19.6,0,0,
19068,1388/03/05,29.7,6.6,18.15,0,0,
19068,1388/03/06,31.4,6.7,19.05,0,0,
19068,1388/03/07,34.6,8.4,21.5,0,0,
19068,1388/03/08,32.1,13.7,22.9,0,0,
19068,1388/03/09,32,4.6,18.3,0,0,
19068,1388/03/10,32.3,4.4,18.35,0,0,
19068,1388/03/11,32.5,8.8,20.65,,0,
19068,1388/03/12,31,11,21,,0,
19068,1388/03/13,31,10.5,20.75,,0,
19068,1388/03/14,31.3,8.1,19.7,,0,
19068,1388/03/15,33.1,11.1,22.1,,0,
19068,1388/03/16,33.9,10,21.95,,0,
19068,1388/03/17,32.3,10.5,21.4,,0,
19068,1388/03/18,29.8,6.9,18.35,,0,
19068,1388/03/19,30,15.9,22.95,,0,
19068,1388/03/20,32.4,11.3,21.85,,0,
